Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre,Vote_Group,Release_Year
06-07-2016,The Day Naruto Became Hokage,63.748,174,7.6,"['Comedy', 'Animation', 'Action', 'Adventure']",High,2016
09-07-1999,American Pie,63.685,6348,6.5,"['Comedy', 'Romance']",Medium,1999
09-12-1997,Scream 2,63.675,2860,6.4,"['Horror', 'Mystery']",Medium,1997
22-06-2016,Independence Day: Resurgence,63.643,5174,5.2,"['Action', 'Adventure', 'ScienceFiction']",Medium,2016
17-09-2015,Sicario,63.639,6788,7.4,"['Action', 'Crime', 'Thriller']",High,2015
17-07-2014,The Purge: Anarchy,63.602,5479,6.7,"['Horror', 'Thriller']",Medium,2014
01-02-2012,Chronicle,63.591,4280,6.8,"['ScienceFiction', 'Drama', 'Thriller']",Medium,2012
13-09-2010,Insidious,63.506,5385,6.9,"['Horror', 'Thriller']",Medium,2010
05-10-1956,The Ten Commandments,63.46,1096,7.7,"['Drama', 'History']",High,1956
11-11-2010,Skyline,63.45,1281,4.9,"['ScienceFiction', 'Action']",Low,2010
27-06-2013,The Heat,63.35,3348,6.6,"['Action', 'Comedy', 'Crime']",Medium,2013
02-10-2020,Cats & Dogs 3: Paws Unite,63.3,157,6.6,"['Comedy', 'Action']",Medium,2020
16-10-1998,Bride of Chucky,63.29,1382,5.9,"['Horror', 'Comedy']",Medium,1998
27-05-2014,Edge of Tomorrow,63.276,11429,7.6,"['Action', 'ScienceFiction']",High,2014
14-12-2022,Avatar 2,63.25,0,0,"['Action', 'Adventure', 'ScienceFiction', 'Fantasy']",,2022
07-08-2014,The Expendables 3,63.233,4060,6.2,"['Action', 'Adventure', 'Thriller']",Medium,2014
28-08-2014,Predestination,63.156,5185,7.4,"['ScienceFiction', 'Thriller']",High,2014
02-06-2016,Now You See Me 2,63.107,9277,6.8,"['Thriller', 'Action', 'Comedy']",Medium,2016
15-10-2010,Jackass 3D,63.046,1056,6.6,"['Comedy', 'Documentary', 'Action']",Medium,2010
08-06-2016,Don't Breathe,62.693,6010,7,"['Thriller', 'Horror']",Medium,2016
08-11-2019,The Platform,62.668,5282,7,"['Drama', 'ScienceFiction', 'Thriller']",Medium,2019
08-03-2011,Limitless,62.667,8851,7.2,"['Thriller', 'Mystery', 'ScienceFiction']",High,2011
06-07-1994,Forrest Gump,62.636,22308,8.5,"['Comedy', 'Drama', 'Romance']",High,1994
21-08-2020,Chemical Hearts,62.6,923,7.5,"['Drama', 'Romance']",High,2020
27-11-2018,Mortal Engines,62.589,3746,6.2,"['Adventure', 'ScienceFiction']",Medium,2018
05-06-2019,Dark Phoenix,62.49,5098,6,"['ScienceFiction', 'Action', 'Adventure']",Medium,2019
01-10-2002,Barbie as Rapunzel,62.47,976,7,"['Animation', 'Family']",Medium,2002
01-09-2020,Barbie: Princess Adventure,62.45,181,7.4,"['Animation', 'Music']",High,2020
24-02-1993,Dragon Ball Z: The History of Trunks,62.397,402,7.6,"['Animation', 'Action', 'ScienceFiction']",High,1993
24-11-2016,Underworld: Blood Wars,62.354,3105,5.8,"['Fantasy', 'Action', 'Thriller', 'Horror']",Medium,2016
17-12-1999,Stuart Little,62.325,3549,6,"['Family', 'Animation', 'Fantasy', 'Comedy']",Medium,1999
28-10-2010,Megamind,62.303,5497,6.9,"['Animation', 'Action', 'Comedy', 'Family', 'ScienceFiction']",Medium,2010
15-05-2018,Solo: A Star Wars Story,62.259,6903,6.6,"['ScienceFiction', 'Adventure', 'Action']",Medium,2018
29-04-2021,The Banishing,62.247,58,5.4,['Horror'],Medium,2021
14-09-2018,Unbroken: Path to Redemption,62.23,98,6.9,['Drama'],Medium,2018
27-11-2019,Knives Out,62.16,8543,7.9,"['Comedy', 'Crime', 'Mystery']",High,2019
16-03-2000,Malena,62.118,1589,7.4,['Drama'],High,2000
03-02-2011,Sanctum,62.112,804,5.9,"['Action', 'Thriller']",Medium,2011
22-09-2021,Confessions of an Invisible Girl,62.097,144,7,"['Comedy', 'Drama']",Medium,2021
23-07-2020,The Rental,62.009,593,5.6,['Horror'],Medium,2020
14-07-2021,A Classic Horror Story,61.997,614,5.9,"['Drama', 'Horror', 'Mystery', 'Comedy']",Medium,2021
15-07-2004,"I, Robot",61.988,9795,6.9,"['Action', 'ScienceFiction']",Medium,2004
09-12-1983,Scarface,61.976,9047,8.2,"['Action', 'Crime', 'Drama', 'Thriller']",High,1983
09-08-2019,Shanghai Fortress,61.936,81,5.6,"['ScienceFiction', 'War']",Medium,2019
29-01-2021,The Mad Hatter,61.894,47,5.8,"['Horror', 'Thriller']",Medium,2021
29-06-2006,The Devil Wears Prada,61.884,9908,7.4,"['Comedy', 'Drama', 'Romance']",High,2006
04-08-2021,Aftermath,61.846,402,6.5,"['Horror', 'Crime', 'Drama', 'Thriller']",Medium,2021
02-08-2008,Naruto Shippuden the Movie: Bonds,61.83,287,7.2,"['Fantasy', 'Animation', 'Action']",High,2008
24-02-1995,The Walking Dead,61.816,18,6.8,"['Drama', 'War']",Medium,1995
24-09-2021,Dear Evan Hansen,61.798,139,6.5,['Drama'],Medium,2021
21-11-2008,Bolt,61.694,4926,6.5,"['Animation', 'Family', 'Adventure', 'Comedy']",Medium,2008
13-07-2018,Mission: Impossible - Fallout,61.689,6420,7.4,"['Action', 'Adventure']",High,2018
01-10-2021,Under Wraps,61.595,51,6.7,"['Comedy', 'Family', 'Fantasy']",Medium,2021
18-08-2017,Fireworks,61.528,246,6.5,"['Animation', 'Drama', 'Fantasy']",Medium,2017
07-05-2013,Hummingbird,61.503,1340,6.2,"['Action', 'Thriller']",Medium,2013
14-05-2016,HK: Hentai Kamen 2 - Abnormal Crisis,61.486,47,6.5,"['Action', 'Comedy']",Medium,2016
15-12-2021,Rumble,61.444,206,6.9,"['Family', 'Comedy', 'Animation']",Medium,2021
21-08-2012,"Batman: The Dark Knight Returns, Part 1",61.34,1194,7.8,"['ScienceFiction', 'Action', 'Animation', 'Mystery']",High,2012
09-10-2019,Zombieland: Double Tap,61.286,4369,7,"['Horror', 'Comedy']",Medium,2019
21-11-1976,Rocky,61.256,5969,7.8,['Drama'],High,1976
12-04-2017,Gifted,61.234,4285,8.1,"['Family', 'Drama', 'Comedy']",High,2017
03-01-2019,Escape Room,61.177,3636,6.5,"['Horror', 'Thriller', 'Mystery']",Medium,2019
25-02-2021,A un paso de mí,61.151,48,6.9,"['Adventure', 'Comedy', 'Drama']",Medium,2021
27-07-2011,Colombiana,61.116,2073,6.6,"['Action', 'Thriller', 'Crime', 'Drama']",Medium,2011
19-11-2021,Boiling Point,61.107,82,7.3,"['Thriller', 'Drama']",High,2021
20-11-1997,Anastasia,61.104,4533,7.6,"['Animation', 'Family']",High,1997
04-08-2021,Insensate,61.028,65,6.8,"['Mystery', 'Horror', 'Thriller']",Medium,2021
28-10-2020,The Craft: Legacy,60.977,521,6.4,"['Horror', 'Drama', 'Fantasy']",Medium,2020
16-02-2011,"Big Mommas: Like Father, Like Son",60.962,981,5.6,"['Crime', 'Comedy', 'Action']",Medium,2011
21-07-2017,Descendants 2,60.917,1329,7.4,"['Family', 'Fantasy', 'TVMovie', 'Music', 'Adventure', 'Action', 'Romance']",High,2017
12-11-2010,Death Race 2,60.909,866,5.8,"['Action', 'Thriller', 'ScienceFiction']",Medium,2010
11-08-2015,Straight Outta Compton,60.906,3123,7.8,"['Drama', 'Music', 'History']",High,2015
10-09-2021,Prey,60.901,215,4.6,['Thriller'],Low,2021
09-03-2015,Frozen Fever,60.896,1602,6.8,"['Animation', 'Family', 'Adventure', 'Comedy']",Medium,2015
03-07-1985,Back to the Future,60.877,16257,8.3,"['Adventure', 'Comedy', 'ScienceFiction', 'Family']",High,1985
08-07-2021,The Kids Are Alright: Destination Asturias,60.658,43,4.7,"['Comedy', 'Family']",Low,2021
14-09-2016,The Magnificent Seven,60.643,4977,6.4,"['Adventure', 'Action', 'Western']",Medium,2016
03-04-2020,Money Heist: The Phenomenon,60.518,974,7.5,['Documentary'],High,2020
06-02-2013,A Good Day to Die Hard,60.518,5489,5.3,"['Action', 'Thriller']",Medium,2013
27-05-2021,The Marco Effect,60.516,25,6.3,"['Thriller', 'Crime']",Medium,2021
08-12-2010,The Tourist,60.486,4604,6.2,"['Action', 'Thriller', 'Romance']",Medium,2010
22-09-2021,Intrusion,60.475,412,6.1,['Thriller'],Medium,2021
03-07-1991,Terminator 2: Judgment Day,60.467,10152,8.1,"['Action', 'Thriller', 'ScienceFiction']",High,1991
06-08-1999,The Iron Giant,60.454,4428,7.9,"['Family', 'Animation', 'Adventure', 'ScienceFiction', 'Comedy']",High,1999
17-03-2000,Final Destination,60.43,4288,6.5,['Horror'],Medium,2000
11-07-2016,Sausage Party,60.394,6115,5.7,"['Animation', 'Adventure', 'Comedy', 'Fantasy']",Medium,2016
29-01-2021,Finding 'Ohana,60.365,292,6.5,"['Action', 'Adventure', 'Comedy', 'Family']",Medium,2021
10-09-2019,Corpus Christi,60.356,369,7.8,['Drama'],High,2019
09-07-2021,Benedetta,60.354,448,6.8,"['Drama', 'History', 'Romance']",Medium,2021
09-08-2012,The Dinosaur Project,60.326,201,5.4,"['Adventure', 'Action']",Medium,2012
13-05-2014,Son of Batman,60.259,812,7.1,"['Animation', 'Action', 'Adventure']",High,2014
05-02-2009,Confessions of a Shopaholic,60.229,2260,6.4,"['Comedy', 'Romance']",Medium,2009
20-12-1997,Life Is Beautiful,60.184,10903,8.5,"['Comedy', 'Drama']",High,1997
25-02-2017,Infidelity in Suburbia,60.139,99,6.2,"['Thriller', 'TVMovie']",Medium,2017
30-01-2020,La Casa,60.107,74,6.4,['Horror'],Medium,2020
16-10-2020,Over the Moon,60.034,1033,7.4,"['Animation', 'Adventure', 'Family', 'Fantasy']",High,2020
21-11-2012,Rise of the Guardians,60.02,5554,7.4,"['Family', 'Animation', 'Fantasy', 'Action', 'Adventure']",High,2012
18-09-2009,Jennifer's Body,59.994,2928,5.8,"['Comedy', 'Horror']",Medium,2009
15-12-2012,One Piece Film: Z,59.954,375,7.5,"['Action', 'Adventure', 'Animation']",High,2012
21-08-2013,The Mortal Instruments: City of Bones,59.841,3964,6.4,"['Fantasy', 'Action', 'Mystery']",Medium,2013
22-09-2021,We Are Nothing,59.824,3,3.5,"['Documentary', 'Music']",Low,2021
24-06-2021,Undercover Wedding Crashers,59.763,35,5.8,['Comedy'],Medium,2021
01-09-2006,Idiocracy,59.742,2058,6.3,"['Adventure', 'Comedy', 'ScienceFiction']",Medium,2006
16-07-2016,Pokémon the Movie: Volcanion and the Mechanical Marvel,59.727,101,6.6,"['Family', 'Adventure', 'Animation', 'Fantasy', 'ScienceFiction']",Medium,2016
22-06-1955,Lady and the Tramp,59.642,4368,7.1,"['Family', 'Animation', 'Romance']",High,1955
23-03-2018,"Paul, Apostle of Christ",59.636,248,7.4,"['Drama', 'History']",High,2018
25-12-2013,Nymphomaniac: Vol. II,59.636,2378,6.8,"['Drama', 'Mystery']",Medium,2013
07-12-2011,Hotel Desire,59.597,72,5.9,"['Drama', 'Romance']",Medium,2011
30-01-2008,CJ7,59.562,468,7.2,"['Comedy', 'Drama', 'Family', 'Fantasy', 'ScienceFiction']",High,2008
03-04-2021,Rise of the Mummy,59.539,31,5.3,"['Horror', 'ScienceFiction']",Medium,2021
17-03-2023,Aquaman and The Lost Kingdom,59.539,0,0,"['Adventure', 'Action', 'Fantasy']",,2023
03-10-2008,Beverly Hills Chihuahua,59.446,840,5.3,"['Comedy', 'Family', 'Adventure', 'Romance']",Medium,2008
24-10-2003,Scary Movie 3,59.425,3223,6,['Comedy'],Medium,2003
24-12-1970,The Aristocats,59.424,4140,7.3,"['Animation', 'Comedy', 'Family', 'Adventure']",High,1970
01-01-1967,Soy leyenda,59.413,5,6.2,"['Drama', 'Horror', 'ScienceFiction']",Medium,1967
06-10-2020,American Pie Presents: Girls' Rules,59.405,431,6.4,['Comedy'],Medium,2020
18-03-2001,Spy Kids,59.383,2773,5.8,"['Action', 'Comedy', 'Family', 'Adventure']",Medium,2001
06-01-2022,Cyrano,59.321,42,6.3,"['Drama', 'Romance']",Medium,2022
11-04-2006,Undisputed II: Last Man Standing,59.292,559,7.3,"['Action', 'Crime', 'Thriller']",High,2006
16-07-2021,Belle,59.247,211,8.4,"['Animation', 'Drama', 'ScienceFiction', 'Music']",High,2021
29-06-2016,The Legend of Tarzan,59.243,5456,5.9,"['Fantasy', 'Action', 'Adventure']",Medium,2016
25-03-2014,Avengers Confidential: Black Widow & Punisher,59.23,178,6.4,"['Animation', 'ScienceFiction', 'Action']",Medium,2014
14-09-1994,Léon: The Professional,59.222,11840,8.3,"['Crime', 'Drama', 'Action']",High,1994
15-11-2019,Away,59.216,55,6.4,"['Animation', 'Drama', 'Adventure', 'Fantasy']",Medium,2019
17-09-2009,Cloudy with a Chance of Meatballs,59.169,4786,6.6,"['Animation', 'Comedy', 'Family']",Medium,2009
14-03-2012,21 Jump Street,59.063,8735,6.9,"['Action', 'Comedy', 'Crime']",Medium,2012
06-11-2002,101 Dalmatians II: Patch's London Adventure,58.966,932,6,"['Family', 'Adventure', 'Comedy', 'Animation']",Medium,2002
23-10-2015,Scouts Guide to the Zombie Apocalypse,58.919,1486,6.5,"['Comedy', 'Horror']",Medium,2015
11-08-2011,Barbie: Princess Charm School,58.864,590,7.4,"['Family', 'Animation', 'Fantasy']",High,2011
11-08-2010,City Under Siege,58.846,39,4.9,"['ScienceFiction', 'Action', 'Thriller']",Low,2010
05-03-2014,300: Rise of an Empire,58.785,5432,6.1,"['Action', 'Drama', 'War']",Medium,2014
19-09-2009,Couples Retreat,58.736,1581,5.5,"['Comedy', 'Romance']",Medium,2009
10-12-2020,Songbird,58.72,504,6.2,"['Thriller', 'Romance', 'Drama', 'Mystery']",Medium,2020
23-05-1984,Indiana Jones and the Temple of Doom,58.697,7268,7.3,"['Adventure', 'Action']",High,1984
16-08-2018,To All the Boys I've Loved Before,58.695,7481,7.7,"['Comedy', 'Romance']",High,2018
28-10-2007,Bee Movie,58.65,3968,6,"['Family', 'Animation', 'Adventure', 'Comedy']",Medium,2007
29-06-1971,Willy Wonka & the Chocolate Factory,58.626,2637,7.5,"['Family', 'Fantasy', 'Comedy']",High,1971
17-08-2016,War Dogs,58.579,3804,6.9,"['Comedy', 'Crime', 'Drama']",Medium,2016
22-01-2021,Twist,58.565,135,6.1,"['Crime', 'Drama', 'Action']",Medium,2021
19-09-2006,Barbie in The 12 Dancing Princesses,58.564,838,7.7,"['Animation', 'Family']",High,2006
21-12-2021,Grumpy Christmas,58.531,55,7.5,['Comedy'],High,2021
01-09-2015,Attack on Titan II: End of the World,58.53,213,5.8,"['Horror', 'ScienceFiction', 'Action', 'Fantasy']",Medium,2015
28-01-2015,The SpongeBob Movie: Sponge Out of Water,58.386,1928,6.1,"['Family', 'Adventure', 'Comedy', 'Fantasy', 'Animation']",Medium,2015
25-05-2016,Alice Through the Looking Glass,58.326,5453,6.5,"['Adventure', 'Family', 'Fantasy']",Medium,2016
26-10-2015,Spectre,58.265,8944,6.5,"['Action', 'Adventure', 'Thriller']",Medium,2015
19-01-2012,Red Tails,58.233,486,6.5,"['Drama', 'Action', 'Adventure', 'History', 'War']",Medium,2012
26-09-2013,Cloudy with a Chance of Meatballs 2,58.225,2517,6.4,"['Animation', 'Family', 'Comedy']",Medium,2013
12-04-2012,Lockout,58.165,1499,5.9,"['Action', 'Thriller', 'ScienceFiction']",Medium,2012
23-10-2020,The Wolf of Snow Hollow,58.153,220,6.2,"['Horror', 'Thriller']",Medium,2020
02-04-2004,Hellboy,58.132,5709,6.7,"['Fantasy', 'Action']",Medium,2004
01-10-2014,Gone Girl,58.122,15481,7.9,"['Mystery', 'Thriller', 'Drama']",High,2014
19-01-2017,A Dog's Purpose,58.118,2665,7.6,"['Adventure', 'Comedy', 'Fantasy', 'Family', 'Drama']",High,2017
01-05-2000,Gladiator,58.099,14853,8.2,"['Action', 'Drama', 'Adventure']",High,2000
12-06-1987,Predator,58.09,6023,7.5,"['ScienceFiction', 'Action', 'Adventure', 'Thriller']",High,1987
21-08-2019,Angel Has Fallen,58.073,2652,6.5,"['Action', 'Thriller']",Medium,2019
15-08-2003,Freddy vs. Jason,58.072,1938,6,['Horror'],Medium,2003
19-08-2009,9,58.068,2872,6.9,"['Action', 'Adventure', 'Animation', 'ScienceFiction', 'Thriller']",Medium,2009
04-11-2010,Due Date,58.058,4517,6.3,"['Comedy', 'Drama']",Medium,2010
17-03-2009,Porno Unplugged,58.046,34,6.3,['Documentary'],Medium,2009
13-11-1940,Fantasia,58.044,2417,7.4,"['Animation', 'Family']",High,1940
27-02-2013,Jack the Giant Slayer,58.027,4291,5.8,"['Fantasy', 'Action', 'Adventure', 'Family']",Medium,2013
16-04-2021,Zog and the Flying Doctors,57.985,14,7,"['Animation', 'Family']",Medium,2021
02-03-2011,Rango,57.984,5187,6.8,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",Medium,2011
16-04-2014,Heaven Is for Real,57.981,609,6.6,['Drama'],Medium,2014
10-11-2016,Arrival,57.979,14796,7.6,"['Drama', 'ScienceFiction', 'Mystery']",High,2016
16-03-2022,Ambulance,57.956,0,0,"['Action', 'Crime', 'Thriller']",,2022
06-06-2017,The Mummy,57.866,6072,5.5,"['Fantasy', 'Thriller', 'Action', 'Adventure', 'Horror']",Medium,2017
17-06-2010,I Spit on Your Grave,57.832,1722,6.5,"['Thriller', 'Crime', 'Horror']",Medium,2010
02-07-2008,Mamma Mia!,57.805,5374,7,"['Comedy', 'Romance']",Medium,2008
18-09-2013,Prisoners,57.778,8998,8,"['Drama', 'Thriller', 'Crime']",High,2013
26-08-2009,The Final Destination,57.75,2504,5.6,"['Horror', 'Mystery']",Medium,2009
25-12-1963,The Sword in the Stone,57.744,3142,7.2,"['Animation', 'Family']",High,1963
04-11-2002,Carrie,57.727,353,6.2,"['Drama', 'Horror', 'TVMovie']",Medium,2002
11-11-2021,"tick, tick... BOOM!",57.724,1140,7.9,['Drama'],High,2021
12-01-2021,Batman: Soul of the Dragon,57.707,217,7,"['Animation', 'Action', 'Adventure', 'Crime', 'Fantasy']",Medium,2021
30-07-2014,Guardians of the Galaxy,57.705,24024,7.9,"['Action', 'ScienceFiction', 'Adventure']",High,2014
21-01-2022,After Yang,57.69,26,7.4,"['Drama', 'ScienceFiction']",High,2022
21-07-2012,Wolf Children,57.641,1719,8.3,"['Animation', 'Drama', 'Family', 'Fantasy']",High,2012
16-06-2018,Mirai,57.615,567,7.3,"['Animation', 'Family', 'Fantasy', 'Adventure', 'Drama']",High,2018
13-10-2016,Trolls,57.582,2983,6.7,"['Family', 'Animation', 'Fantasy', 'Adventure', 'Comedy', 'Music']",Medium,2016
18-11-2011,Happy Feet Two,57.538,1232,6.1,"['Animation', 'Comedy', 'Family']",Medium,2011
09-01-2009,Bride Wars,57.455,2567,6.2,"['Comedy', 'Romance']",Medium,2009
12-11-2020,Xico's Journey,57.387,85,6.7,"['Animation', 'Family']",Medium,2020
21-08-2004,Naruto: Ninja Clash in the Land of Snow,57.347,360,7.3,"['Comedy', 'Action', 'Animation', 'Adventure']",High,2004
20-09-2004,Shark Tale,57.276,5345,6,"['Animation', 'Action', 'Comedy', 'Family']",Medium,2004
01-10-2013,The Book of Daniel,57.267,57,7.3,"['Fantasy', 'Drama']",High,2013
09-04-2004,The Girl Next Door,57.256,2698,6.7,"['Comedy', 'Romance']",Medium,2004
20-03-2014,Captain America: The Winter Soldier,57.248,15813,7.7,"['Action', 'Adventure', 'ScienceFiction']",High,2014
12-08-2011,Final Destination 5,57.235,2646,6,"['Horror', 'Mystery']",Medium,2011
04-01-2013,Death Race: Inferno,57.205,584,5.8,"['Action', 'ScienceFiction', 'Thriller']",Medium,2013
29-06-2019,Cencoroll Connect,57.183,10,7.1,"['Animation', 'ScienceFiction']",High,2019
09-08-2019,Brian Banks,57.18,125,7.3,['Drama'],High,2019
01-08-2013,Snowpiercer,57.171,7905,6.9,"['Action', 'ScienceFiction', 'Drama']",Medium,2013
23-05-1980,The Shining,57.144,14120,8.2,"['Horror', 'Thriller']",High,1980
21-09-2021,Go! Go! Cory Carson: Chrissy Takes the Wheel,57.101,18,5.8,"['Animation', 'Family']",Medium,2021
27-06-2013,Europa Report,57.085,1074,6.2,"['ScienceFiction', 'Thriller']",Medium,2013
14-12-2016,Rogue One: A Star Wars Story,57.076,12929,7.5,"['Action', 'Adventure', 'ScienceFiction']",High,2016
14-11-2006,Casino Royale,57.07,8739,7.5,"['Adventure', 'Action', 'Thriller']",High,2006
30-09-2017,Batman & Jesus,57.029,3,5.7,"['Documentary', 'Comedy']",Medium,2017
14-12-2011,Alvin and the Chipmunks: Chipwrecked,57.02,1741,5.7,"['Comedy', 'Fantasy', 'Family', 'Music', 'Animation']",Medium,2011
31-03-2000,The Road to El Dorado,57.012,3073,7.2,"['Family', 'Adventure', 'Animation', 'Comedy', 'Action']",High,2000
19-09-2008,Igor,57,461,6,"['Animation', 'Comedy', 'Family', 'Fantasy']",Medium,2008
15-03-2012,Red Dawn,56.998,1278,5.6,"['Action', 'Thriller']",Medium,2012
03-01-2013,"Batman: The Dark Knight Returns, Part 2",56.979,1109,8,"['ScienceFiction', 'Action', 'Animation', 'Mystery']",High,2013
09-09-2010,13 Assassins,56.908,823,7.3,"['Adventure', 'Drama', 'Action']",High,2010
21-05-2001,Pearl Harbor,56.889,5198,6.9,"['Action', 'War', 'History', 'Romance', 'Drama']",Medium,2001
14-01-2022,Ray Donovan: The Movie,56.863,87,6.9,"['Drama', 'TVMovie']",Medium,2022
11-08-2021,Breathless,56.737,32,5.9,"['Crime', 'Drama', 'Thriller']",Medium,2021
12-04-2006,Scary Movie 4,56.705,2566,5.5,['Comedy'],Medium,2006
29-07-1994,The Mask,56.696,8236,6.9,"['Romance', 'Comedy', 'Crime', 'Fantasy']",Medium,1994
05-06-2016,Never Back Down: No Surrender,56.669,364,7,"['Drama', 'Action']",Medium,2016
10-12-2007,American Pie Presents: Beta House,56.663,1537,5.6,['Comedy'],Medium,2007
24-07-2020,The Kissing Booth 2,56.629,4441,7.8,"['Comedy', 'Romance']",High,2020
14-06-2021,Hitman's Wife's Bodyguard,56.626,1279,6.8,"['Action', 'Comedy', 'Thriller']",Medium,2021
30-04-2005,House of Wax,56.605,2330,5.9,"['Horror', 'Drama']",Medium,2005
10-12-2019,6 Underground,56.552,3619,6.3,"['Action', 'Thriller', 'Comedy']",Medium,2019
09-02-2006,Final Destination 3,56.535,2990,6.1,"['Horror', 'Mystery']",Medium,2006
07-06-2018,Ocean's Eight,56.518,6954,7,"['Crime', 'Comedy', 'Action']",Medium,2018
04-11-2016,Nocturnal Animals,56.485,6350,7.5,"['Drama', 'Thriller']",High,2016
02-04-2021,Just Say Yes,56.449,172,6.6,"['Comedy', 'Romance']",Medium,2021
03-08-2011,Rise of the Planet of the Apes,56.405,9759,7.3,"['Thriller', 'Action', 'Drama', 'ScienceFiction']",High,2011
19-02-2020,The Call of the Wild,56.404,2827,7.6,"['Adventure', 'Family', 'Drama']",High,2020
23-10-2014,Nightcrawler,56.378,8766,7.7,"['Crime', 'Drama', 'Thriller']",High,2014
30-06-2006,Monster House,56.328,3141,6.6,"['Animation', 'Comedy', 'Family', 'Fantasy']",Medium,2006
03-01-2018,Insidious: The Last Key,56.299,2193,6.2,"['Horror', 'Mystery', 'Thriller']",Medium,2018
08-11-2019,Pets United,56.288,148,6,"['Animation', 'Family', 'Adventure', 'Comedy']",Medium,2019
24-10-2020,Slate,56.282,6,5.5,"['Action', 'Comedy']",Medium,2020
13-12-2007,Alvin and the Chipmunks,56.239,3645,5.8,"['Comedy', 'Family', 'Fantasy', 'Animation']",Medium,2007
04-04-2018,Just a Breath Away,56.235,611,6.3,"['Drama', 'ScienceFiction', 'Thriller']",Medium,2018
31-10-2002,28 Days Later,56.214,5230,7.2,"['Horror', 'Thriller', 'ScienceFiction']",High,2002
15-08-1939,The Wizard of Oz,56.211,4454,7.6,"['Adventure', 'Fantasy', 'Family']",High,1939
30-05-2013,After Earth,56.19,5707,5.2,"['ScienceFiction', 'Action', 'Adventure']",Medium,2013
08-02-2007,Norbit,56.179,1795,5.6,['Comedy'],Medium,2007
11-07-2015,The Boy and the Beast,56.152,1161,8,"['Animation', 'Fantasy', 'Action', 'Adventure', 'Drama']",High,2015
20-01-2016,Dirty Grandpa,56.129,3718,5.9,['Comedy'],Medium,2016
22-11-2015,The Lion Guard: Return of the Roar,56.128,824,6.5,"['Family', 'TVMovie', 'Animation']",Medium,2015
23-07-2017,The Emoji Movie,56.122,2487,5.6,"['Animation', 'Family', 'Comedy']",Medium,2017
23-07-2016,One Piece Film: GOLD,56.06,324,7.2,"['Action', 'Animation', 'Adventure', 'Comedy']",High,2016
21-11-1985,Rocky IV,56.051,3362,7,['Drama'],Medium,1985
27-07-2010,Batman: Under the Red Hood,56.038,1228,7.8,"['ScienceFiction', 'Crime', 'Action', 'Animation', 'Mystery']",High,2010
17-08-2006,Brother Bear 2,56.015,1190,6.7,"['Adventure', 'Animation', 'Family']",Medium,2006
03-02-2000,Scream 3,56.004,2436,5.9,"['Horror', 'Mystery']",Medium,2000
21-06-2000,Chicken Run,55.993,3948,6.7,"['Animation', 'Comedy', 'Family']",Medium,2000
01-10-2020,The Doorman,55.98,275,5.9,"['Action', 'Thriller']",Medium,2020
07-01-2021,Maya the Bee: The Golden Orb,55.968,67,6.6,"['Adventure', 'Animation', 'Family']",Medium,2021
20-06-1975,Jaws,55.944,8169,7.6,"['Horror', 'Thriller', 'Adventure']",High,1975
20-05-2009,Night at the Museum: Battle of the Smithsonian,55.924,5760,6.1,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",Medium,2009
12-03-2009,Dragonball Evolution,55.831,1623,2.8,"['Action', 'Adventure', 'Fantasy', 'ScienceFiction', 'Thriller']",Low,2009
15-10-2021,Sharkdog’s Fintastic Halloween,55.817,4,4,"['Animation', 'Fantasy', 'Family']",Low,2021
14-03-2013,The Call,55.79,2448,6.8,"['Crime', 'Thriller']",Medium,2013
12-03-2020,Mariposa,55.774,3,7.2,"['Drama', 'Romance']",High,2020
07-04-1995,Bad Boys,55.763,5088,6.8,"['Action', 'Comedy', 'Crime', 'Thriller']",Medium,1995
09-08-2019,Sijjin 6,55.733,33,5.7,['Horror'],Medium,2019
08-02-2016,The Mermaid,55.695,250,6.4,"['Comedy', 'Fantasy', 'Romance']",Medium,2016
16-04-1988,My Neighbor Totoro,55.688,5988,8.1,"['Fantasy', 'Animation', 'Family']",High,1988
02-07-1997,Men in Black,55.679,11431,7.2,"['Action', 'Adventure', 'Comedy', 'ScienceFiction']",High,1997
03-09-2010,El Infierno,55.638,413,7.7,"['Drama', 'Crime', 'Comedy']",High,2010
21-01-2003,Ong Bak: Muay Thai Warrior,55.636,1310,7.1,"['Action', 'Thriller']",High,2003
15-10-1993,The Beverly Hillbillies,55.619,405,6.1,['Comedy'],Medium,1993
25-05-1979,Alien,55.614,11421,8.1,"['Horror', 'ScienceFiction']",High,1979
05-08-2015,Fantastic Four,55.59,5078,4.4,"['Action', 'Adventure', 'ScienceFiction']",Low,2015
17-04-2019,The Curse of La Llorona,55.585,1865,5.7,"['Horror', 'Thriller']",Medium,2019
18-01-2018,Den of Thieves,55.498,2269,6.7,"['Action', 'Thriller', 'Crime']",Medium,2018
02-04-2004,Home on the Range,55.377,1627,6,"['Animation', 'Family']",Medium,2004
10-09-1994,Pulp Fiction,55.352,22733,8.5,"['Thriller', 'Crime']",High,1994
06-08-2010,The Other Guys,55.328,3321,6.3,"['Comedy', 'Action', 'Crime']",Medium,2010
08-04-2011,Soul Surfer,55.316,1020,7.1,"['Family', 'Drama']",High,2011
