Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre,Vote_Group,Release_Year
04-10-2018,22-Jul,15.136,936,7.2,"['History', 'Drama', 'Thriller', 'Crime']",High,2018
05-07-2003,Battle Royale II: Requiem,15.136,336,4.9,"['Action', 'Thriller']",Low,2003
12-04-1991,Out for Justice,15.135,322,6.1,"['Action', 'Crime']",Medium,1991
13-12-2016,Realive,15.134,165,6,['ScienceFiction'],Medium,2016
09-03-2017,Larceny,15.133,47,3.9,"['Action', 'Thriller']",Low,2017
13-03-1991,Paris Is Burning,15.132,370,8.2,['Documentary'],High,1991
12-12-2011,Kung Fu Panda: Secrets of the Masters,15.127,177,6.3,"['Animation', 'Action']",Medium,2011
06-08-2015,Purpose of Reunion,15.124,11,4.8,"['Romance', 'Drama']",Low,2015
03-09-2009,Extract,15.124,439,5.8,['Comedy'],Medium,2009
07-01-2017,Our Meal for Tomorrow,15.122,5,6.3,"['Drama', 'Romance']",Medium,2017
19-04-2018,The Guernsey Literary & Potato Peel Pie Society,15.121,1103,7.5,"['Romance', 'Drama', 'History']",High,2018
14-04-2021,Why Did You Kill Me?,15.119,104,6.3,"['Documentary', 'Crime']",Medium,2021
01-01-1998,Slayers Gorgeous,15.119,11,6.7,"['Animation', 'Adventure', 'Comedy', 'Fantasy']",Medium,1998
15-08-2003,Grind,15.119,102,6.2,"['Action', 'Comedy', 'Adventure']",Medium,2003
03-05-1985,Private Resort,15.119,166,5.6,['Comedy'],Medium,1985
15-04-1992,Indochine,15.118,152,7,"['Drama', 'Romance']",Medium,1992
02-02-2014,Barefoot,15.117,502,6.5,"['Comedy', 'Drama', 'Romance']",Medium,2014
29-11-1997,The Love Bug,15.116,100,5.4,"['Fantasy', 'Adventure', 'Comedy', 'Family']",Medium,1997
18-07-1997,Nothing to Lose,15.115,450,6.4,"['Action', 'Adventure', 'Comedy']",Medium,1997
14-07-2020,Summer of 85,15.114,468,7.4,"['Romance', 'Drama']",High,2020
19-06-1941,The Reluctant Dragon,15.113,99,6.6,"['Fantasy', 'Animation', 'Family', 'Comedy']",Medium,1941
03-09-2021,Rise of the Footsoldier: Origins,15.111,10,6.5,"['Crime', 'Drama', 'Action']",Medium,2021
04-12-2013,Enemies Closer,15.111,124,5.3,"['Thriller', 'Action']",Medium,2013
01-02-1996,Black Sheep,15.106,303,6,['Comedy'],Medium,1996
28-03-2012,Dark Tide,15.105,163,4.9,"['Thriller', 'Adventure', 'Drama']",Low,2012
10-03-2018,Don’t Leave Home,15.103,38,4.8,"['Thriller', 'Mystery']",Low,2018
05-09-2002,Dolls,15.101,217,7.6,"['Drama', 'Romance']",High,2002
11-11-1980,Shogun Assassin,15.1,118,6.8,['Action'],Medium,1980
14-04-2016,I Am Wrath,15.098,529,5.5,"['Action', 'Crime', 'Drama', 'Thriller']",Medium,2016
15-03-2014,The Signal,15.098,1342,6,"['Thriller', 'ScienceFiction']",Medium,2014
01-09-2004,Vanity Fair,15.098,282,5.7,"['Drama', 'Romance']",Medium,2004
06-09-1997,Orgazmo,15.098,306,6.2,['Comedy'],Medium,1997
02-02-2011,Chalet Girl,15.097,552,6.4,"['Comedy', 'Romance']",Medium,2011
26-09-2007,Before the Devil Knows You're Dead,15.095,1131,7.1,"['Crime', 'Drama', 'Thriller']",High,2007
21-02-2006,The Prince & Me 2: The Royal Wedding,15.094,201,5.7,"['Romance', 'Comedy', 'Family']",Medium,2006
20-08-2020,Charlatan,15.091,61,6.6,['Drama'],Medium,2020
12-11-2015,Buddy's Mom,15.091,5,5.2,"['Drama', 'Romance']",Medium,2015
13-12-2019,Richard Jewell,15.09,1860,7.5,"['Drama', 'History', 'Crime']",High,2019
30-09-2018,Shadow,15.085,232,6.8,"['Action', 'Drama']",Medium,2018
10-09-1969,Hibernatus,15.084,349,6.8,"['Comedy', 'ScienceFiction']",Medium,1969
20-02-1979,Pleasure Shop on the Avenue,15.083,9,4.9,['Thriller'],Low,1979
07-04-2004,Two Brothers,15.083,698,7.1,"['Adventure', 'Drama', 'Family']",High,2004
27-01-1989,Three Fugitives,15.082,205,6.7,['Comedy'],Medium,1989
09-09-2019,Wasp Network,15.08,268,6.1,"['Drama', 'History', 'Thriller']",Medium,2019
06-11-2015,The Hallow,15.079,496,5.6,"['Fantasy', 'Horror']",Medium,2015
19-11-2004,Ring of the Nibelungs,15.077,100,6.3,['Action'],Medium,2004
18-05-2007,Savage Grace,15.075,144,5.7,['Drama'],Medium,2007
08-10-1993,Gettysburg,15.074,221,6.9,"['Drama', 'History', 'War']",Medium,1993
05-06-1999,Kikujiro,15.073,331,7.5,"['Comedy', 'Drama', 'Family']",High,1999
15-09-2006,The Black Dahlia,15.071,851,5.6,"['Drama', 'Crime', 'Thriller']",Medium,2006
12-03-2015,Suite Française,15.07,974,7.3,"['Drama', 'Romance', 'War']",High,2015
14-10-2011,Texas Killing Fields,15.07,375,5.8,"['Drama', 'Thriller', 'Crime', 'Mystery']",Medium,2011
17-12-1966,"Ebirah, Horror of the Deep",15.069,120,6.3,"['ScienceFiction', 'Action', 'Fantasy']",Medium,1966
16-08-2021,Ted Bundy: American Boogeyman,15.068,28,6.1,"['Thriller', 'Crime']",Medium,2021
29-03-2019,A Vigilante,15.068,279,5.5,"['Thriller', 'Drama']",Medium,2019
26-10-1977,Office Romance,15.067,170,8.1,"['Comedy', 'Romance', 'TVMovie']",High,1977
09-12-2011,The Sitter,15.065,738,5.6,['Comedy'],Medium,2011
11-03-2022,All My Friends Hate Me,15.063,0,0,"['Horror', 'Comedy']",,2022
23-06-1987,Dragnet,15.063,348,5.9,"['Action', 'Comedy', 'Crime']",Medium,1987
18-07-2019,1BR,15.062,271,6.2,"['Thriller', 'Drama', 'Horror']",Medium,2019
13-08-2014,Burnout,15.061,62,6.7,"['Action', 'Comedy']",Medium,2014
07-10-2016,Middle School: The Worst Years of My Life,15.06,342,6.9,"['Family', 'Comedy']",Medium,2016
10-11-2000,Red Planet,15.059,788,5.6,"['Thriller', 'Action', 'ScienceFiction']",Medium,2000
01-12-2017,Gangster Land,15.058,51,5.6,"['Thriller', 'Crime', 'Action', 'Drama', 'History']",Medium,2017
08-02-2008,The Ramen Girl,15.058,268,6.4,"['Romance', 'Comedy', 'Drama']",Medium,2008
20-02-2015,Hot Tub Time Machine 2,15.055,726,5.2,['Comedy'],Medium,2015
11-09-2014,Dolphin Tale 2,15.052,299,7,"['Family', 'Drama']",Medium,2014
22-04-2005,Enron: The Smartest Guys in the Room,15.051,206,7.3,['Documentary'],High,2005
